,Source,BiGG,MNXM,Stuff,Unnamed: 4
4231,bigg.metabolite:,ala_B,MNXM144,Beta-Alanine,
4237,bigg.metabolite:,ru5p__D,MNXM145,D-Ribulose5-phosphate,
4238,bigg.metabolite:,glu1sa,MNXM1453,L-Glutamate1-semialdehyde,
4239,bigg.metabolite:,2cpr5p,MNXM1455,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose5-phosphate,
4254,bigg.metabolite:,imacp,MNXM1456,3-(Imidazol-4-yl)-2-oxopropylphosphate,
4273,bigg.metabolite:,4adcho,MNXM1458,4-amino-4-deoxychorismate,
4827,bigg.metabolite:,hisp,MNXM1482,L-Histidinolphosphate,
4959,bigg.metabolite:,mso3,MNXM1485,Methanesulfonate,
5017,bigg.metabolite:,pran,MNXM1489,N-(5-Phospho-D-ribosyl)anthranilate,
5070,bigg.metabolite:,thrp,MNXM1492,L-ThreonineO-3-phosphate,
5079,bigg.metabolite:,ppap,MNXM1499,Propanoylphosphate,
5083,bigg.metabolite:,udpLa4o,MNXM1505,UDP-4-keto-pyranose,
5094,bigg.metabolite:,ohpb,MNXM1514,2-Oxo-3-hydroxy-4-phosphobutanoate,
5098,bigg.metabolite:,g3pi,MNXM1517,Sn-Glycero-3-phospho-1-inositol,
5100,bigg.metabolite:,dtdp,MNXM152,DTDP,
5104,bigg.metabolite:,3hppnl,MNXM1526,3-Hydroxypropanal,
5107,bigg.metabolite:,34hpp,MNXM153,3-(4-Hydroxyphenyl)pyruvate,
5109,bigg.metabolite:,dmbzid,MNXM1531,"5,6-Dimethylbenzimidazole",
5111,bigg.metabolite:,5apru,MNXM1532,5-Amino-6-(5'-phosphoribosylamino)uracil,
5117,bigg.metabolite:,gdptp,MNXM1561,Guanosine3'-diphosphate5'-triphosphate,
5118,bigg.metabolite:,hg2,MNXM1562,Mercurycharged2,
5119,bigg.metabolite:,sl2a6o,MNXM1563,N-Succinyl-2-L-amino-6-oxoheptanedioate,
5120,bigg.metabolite:,idon__L,MNXM1565,L-Idonate,
5129,bigg.metabolite:,ura,MNXM158,Uracil,
5139,bigg.metabolite:,2obut,MNXM159,2-Oxobutanoate,
5142,bigg.metabolite:,3c4mop,MNXM1602,3-Carboxy-4-methyl-2-oxopentanoate,
5144,bigg.metabolite:,mal__D,MNXM1608,D-Malate,
5145,bigg.metabolite:,pydx5p,MNXM161,Pyridoxal5'-phosphate,
5154,bigg.metabolite:,3amac,MNXM162288,3-Aminoacrylate,
5178,bigg.metabolite:,2dh3dgal,MNXM1627,2-Dehydro-3-deoxy-D-galactonate,
5233,bigg.metabolite:,isetac,MNXM1630,Isethionicacid,
5234,bigg.metabolite:,istnt,MNXM1630,Isethionate,
5293,bigg.metabolite:,3hpppn,MNXM1634,3-(3-hydroxy-phenyl)propionate,
5379,bigg.metabolite:,4hbz,MNXM164,4-Hydroxybenzoate,
5390,bigg.metabolite:,2p4c2me,MNXM1641,2-phospho-4-(cytidine5'-diphospho)-2-C-methyl-D-erythritol,
5547,bigg.metabolite:,caproic,MNXM1653,CaproicAcid,
5548,bigg.metabolite:,hxa,MNXM1653,Hexanoate(n-C6:0),
5626,bigg.metabolite:,n8aspmd,MNXM1679,N8-Acetylspermidine,
5627,bigg.metabolite:,ade,MNXM168,Adenine,
5654,bigg.metabolite:,2ippm,MNXM1706,2-Isopropylmaleate,
5661,bigg.metabolite:,sucsal,MNXM172,Succinicsemialdehyde,
5663,bigg.metabolite:,galctn__D,MNXM1734,D-Galactonate,
5666,bigg.metabolite:,xan,MNXM174,Xanthine,
5668,bigg.metabolite:,frulys,MNXM1742,Fructoselysine,
5669,bigg.metabolite:,acetol,MNXM1744,Acetolcytosol,
5675,bigg.metabolite:,sucarg,MNXM1756,N2-Succinyl-L-arginine,
5676,bigg.metabolite:,sucglu,MNXM1757,N2-Succinyl-L-glutamate,
5677,bigg.metabolite:,sucgsa,MNXM1763,N2-Succinyl-L-glutamate5-semialdehyde,
5684,bigg.metabolite:,udpLa4n,MNXM1786,Uridine5''-diphospho-{beta}-4-deoxy-4-amino-L-arabinose,
5685,bigg.metabolite:,2mcacn,MNXM1792,Cis-2-Methylaconitate,
5687,bigg.metabolite:,4hthr,MNXM1802,4-Hydroxy-L-threonine,
5702,bigg.metabolite:,xu5p__D,MNXM186,D-Xylulose5-phosphate,
