BiGG,BiGG_target
M_nadph_c,M_glu1sa_c
M_nadph_c,M_nadp_c
M_nadph_c,M_trnaglu_c
M_adpglc_c,M_adp_c
M_adpglc_c,M_glycogen_c
M_adpglc_c,M_h_c
M_glycogen_c,M_g1p_c
M_pi_c,M_g1p_c
M_atp_c,M_adp_c
M_atp_c,M_h_c
M_atp_c,M_ru5p__L_c
M_rbl__L_c,M_adp_c
M_rbl__L_c,M_h_c
M_rbl__L_c,M_ru5p__L_c
M_ru5p__L_c,M_xu5p__D_c
M_tartr__L_c,M_h2o_c
M_tartr__L_c,M_oaa_c
M_h2o_c,M_pi_c
M_h2o_c,M_uri_c
M_ump_c,M_pi_c
M_ump_c,M_uri_c
M_5dh4dglc_c,M_2h3oppan_c
M_5dh4dglc_c,M_pyr_c
M_cmp_c,M_cytd_c
M_cmp_c,M_pi_c
M_h2o_c,M_cytd_c
M_h2o_c,M_pi_c
M_dtmp_c,M_pi_c
M_dtmp_c,M_thymd_c
M_h2o_c,M_pi_c
M_h2o_c,M_thymd_c
M_acACP_c,M_ACP_c
M_acACP_c,M_actACP_c
M_acACP_c,M_co2_c
M_h_c,M_ACP_c
M_h_c,M_actACP_c
M_h_c,M_co2_c
M_malACP_c,M_ACP_c
M_malACP_c,M_actACP_c
M_malACP_c,M_co2_c
M_frdp_c,M_hemeO_c
M_frdp_c,M_ppi_c
M_h2o_c,M_hemeO_c
M_h2o_c,M_ppi_c
M_pheme_c,M_hemeO_c
M_pheme_c,M_ppi_c
M_amet_c,M_ametam_c
M_amet_c,M_co2_c
M_h_c,M_ametam_c
M_h_c,M_co2_c
M_agm_c,M_ptrc_c
M_agm_c,M_urea_c
M_h2o_c,M_ptrc_c
M_h2o_c,M_urea_c
M_damp_c,M_dad_2_c
M_damp_c,M_pi_c
M_h2o_c,M_dad_2_c
M_h2o_c,M_pi_c
M_gthrd_c,M_lgt__S_c
M_mthgxl_c,M_lgt__S_c
M_h2o_c,M_pi_c
M_h2o_c,M_pydx_c
M_pydx5p_c,M_pi_c
M_pydx5p_c,M_pydx_c
M_h2o_c,M_pi_c
M_h2o_c,M_pydxn_c
M_pdx5p_c,M_pi_c
M_pdx5p_c,M_pydxn_c
M_arg__L_c,M_agm_c
M_arg__L_c,M_co2_c
M_h_c,M_agm_c
M_h_c,M_co2_c
M_3otdcoa_c,M_3htdcoa_c
M_3otdcoa_c,M_nad_c
M_h_c,M_3htdcoa_c
M_h_c,M_nad_c
M_nadh_c,M_3htdcoa_c
M_nadh_c,M_nad_c
M_3hbcoa_c,M_b2coa_c
M_3hbcoa_c,M_h2o_c
M_3hhcoa_c,M_h2o_c
M_3hhcoa_c,M_hx2coa_c
M_asp__L_c,M_amp_c
M_asp__L_c,M_argsuc_c
M_asp__L_c,M_h_c
M_asp__L_c,M_ppi_c
M_atp_c,M_amp_c
M_atp_c,M_argsuc_c
M_atp_c,M_h_c
M_atp_c,M_ppi_c
M_citr__L_c,M_amp_c
M_citr__L_c,M_argsuc_c
M_citr__L_c,M_h_c
M_citr__L_c,M_ppi_c
M_acg5sa_c,M_acg5p_c
M_acg5sa_c,M_h_c
M_acg5sa_c,M_nadph_c
M_nadp_c,M_acg5p_c
M_nadp_c,M_h_c
M_nadp_c,M_nadph_c
