(-1.4358999999999953,340)
(14.40089999999997,294)
(-2.5573999999999986,112)
(-1.0460000000000003,58)
(4.997800000000004,120)
(-5.4894,316)
(-1.4493999999999994,118)
(-1.6747000000000003,34)
(4.394940000000005,220)
(-2.733599999999999,46)
(-1.4838999999999993,60)
(-2.8150999999999993,62)
(-1.223889999999997,144)
(-2.248979999999998,118)
(-3.2475999999999994,72)
(-1.4493999999999994,118)
(-1.2438,24)
(-2.4381299999999975,112)
(8.472899999999978,972)
(-2.996,0)
(-1.94326,144)
(-0.5549000000000002,46)
(-4.057499999999999,66)
(-1.6218,48)
(-2.5760999999999994,130)
(-1.7140299999999975,168)
(-1.1670999999999998,44)
(-3.1277999999999966,168)
(-0.6389,32)
(-1.5574999999999983,48)
(-0.9702999999999999,30)
(8.835900000000004,214)
(-3.5138000000000003,34)
(-2.6603999999999983,322)
(2.5262000000000047,304)
(-4.156999999999997,174)
(-0.7096000000000002,36)
(-0.3334999999999995,90)
(-3.0072299999999963,250)
(-2.9748999999999928,188)
(-2.2331,60)
(-0.2257,28)
(0.40041999999999983,64)
(10.396299999999995,238)
(3.437400000000002,96)
(-1.7897299999999998,110)
(-1.9090000000000003,110)
(-1.0664999999999978,82)
(-1.7466299999999997,80)
(10.496299999999996,280)
(4.464100000000005,180)
(2.9037000000000006,156)
(3.683900000000002,168)
(2.2982000000000014,168)
(-3.3280999999999983,54)
(-2.071599999999999,58)
(-3.8545999999999996,80)
(-2.7784,34)
(-2.757799999999999,86)
(-4.827799999999997,78)
(-3.8568999999999947,330)
(-0.5249999999999999,40)
(-3.591829999999997,174)
(3.459900000000002,166)
(5.020300000000005,190)
(2.222400000000001,178)
(3.782800000000004,202)
(2.446400000000001,180)
(3.2266000000000026,192)
(2.9037000000000006,156)
(3.683900000000002,168)
(4.464100000000005,180)
(5.244300000000005,192)
(3.5602800000000023,220)
(-1.2192999999999998,48)
(-3.243729999999997,122)
(-0.8537000000000001,30)
(-3.468129999999997,160)
(-1.0127000000000004,46)
(-1.7265999999999986,86)
(-0.4683799999999998,90)
(-1.452599999999998,98)
(8.487900000000009,252)
(-0.2862299999999998,58)
(-1.6796999999999986,130)
(1.0977999999999999,42)
(9.948299999999996,234)
(11.508699999999987,258)
(0.19621999999999973,48)
(-1.6339000000000001,18)
(-2.7022999999999997,40)
(-1.3179999999999983,96)
(-3.2789799999999962,166)
(-4.370129999999998,170)
(2.6572000000000005,84)
(-1.7265999999999986,86)
(-3.6419999999999977,150)
(-0.6485000000000001,52)
(-0.621,52)
(-2.953129999999997,136)
(-3.812999999999997,156)
(-8.42480000000002,320)
(-1.0385999999999993,58)
(0.08022000000000007,66)
(-1.1019800000000002,94)
(-0.3677000000000001,52)
(11.956699999999984,262)
(-0.7925999999999995,36)
(-2.0977999999999972,120)
(-1.4615,36)
(-3.0768299999999975,150)
(-3.5903999999999994,70)
(0.9792000000000001,20)
(-6.544199999999992,160)
(4.970770000000006,324)
(-3.587399999999997,160)
(-1.0667799999999998,90)
(0.1639999999999997,58)
(-0.10849999999999982,42)
(-0.4636,36)
(-3.5545999999999998,50)
(-1.4599000000000002,36)
(-2.5823,60)
(-3.6727299999999996,68)
(1.428,46)
(-2.7039000000000004,40)
(-15.782799999999888,1648)
(-5.504459999999998,256)
(1.1335999999999997,52)
(-2.520299999999999,66)
(-0.6701999999999999,18)
(-1.7231999999999972,114)
(-1.4104,88)
(7.275500000000009,190)
(8.387900000000007,210)
(-5.208129999999997,264)
(-1.0615999999999959,78)
(0.26059999999999994,44)
(-6.310299999999996,132)
(13.944099999999974,450)
(23.306500000000028,594)
(15.823899999999957,288)
(-2.4654299999999973,172)
(5.623000000000006,268)
(9.856199999999996,336)
(6.735400000000009,288)
(7.183400000000009,292)
(-1.019499999999998,76)
(-3.8492999999999995,64)
(-2.5823,60)
(4.481100000000006,162)
(-8.836700000000022,328)
(-0.67018,66)
(5.261300000000007,174)
(1.3172,76)
(-1.2169999999999987,88)
(-2.1914,62)
(15.845199999999958,284)
(1.6960999999999813,1148)
(-3.0723999999999974,136)
