BiGG,DEGREE,DEGREE_CENTRALITY,EIGENVECTOR,KATZ,CLOSENESS_CENTRALITY,BETWEENNESS_CENTRALITY,CLUSTCOEF
M_e4p_c,3,0.002816901408450704,0.006904004207230943,-0.01021302002629746,0.14174878181709388,0.0069557697059550285,0
M_25aics_c,1,0.0009389671361502347,0.01438509265607967,0.06681245694368318,0.15581094797994072,0.0,0
M_dd2coa_c,1,0.0009389671361502347,0.00057471749814901,-0.0050140414579175185,0.11552406333942265,0.0,0
M_pep_c,8,0.007511737089201878,0.0071378524092262615,-0.012678426344756705,0.14184650589969786,0.008129478626142822,0
M_prpncoa_c,1,0.0009389671361502347,1.772844352462748e-27,-0.004215894776895391,0.0060560229385260116,0.0,0
M_6pgc_c,2,0.0018779342723004694,7.6379935237801e-27,-0.00469695953453544,0.007582751410423325,5.2949274594938046e-05,0
M_alaala_c,2,0.0018779342723004694,9.638318902160192e-05,-0.003944534176577075,0.10713270336241174,0.0011666490169084684,0
M_2ddglcn_c,3,0.002816901408450704,0.001189102050864158,0.0021572987097472985,0.12932014884193072,0.03249496981891348,0
M_3hdcoa_c,1,0.0009389671361502347,0.055431610254848815,-0.004205460732424872,0.16892311724754658,0.0,0
M_3odcoa_c,2,0.0018779342723004694,0.001173476029772186,0.0026126806005941717,0.12484730388805323,0.0011666490169084684,0
M_3oddcoa_c,2,0.0018779342723004694,1.601752151074652e-27,-0.004709206980831758,0.0074088365811306196,4.059444385611917e-05,0
M_altrn_c,2,0.0018779342723004694,6.1049129827944936e-27,-0.0054129620523740785,0.010400866738894909,7.765893607257581e-05,0
M_3ohcoa_c,2,0.0018779342723004694,1.1675660317539343e-45,-0.004587182232785936,0.0018779342723004694,1.7649758198312683e-06,0
M_2ddglcn_p,1,0.0009389671361502347,8.255938585362749e-46,-0.004204917046720442,0.0012519561815336462,0.0,0
M_udpg_c,1,0.0009389671361502347,1.2944504985403722e-27,-0.004879948292725738,0.009166865600381954,0.0,0
M_3hddcoa_c,1,0.0009389671361502347,8.879819712091277e-43,-0.004209646100568674,0.0015023474178403756,0.0,0
M_2doxg6p_c,2,0.0018779342723004694,1.538029890339373e-42,-0.004634472771268265,0.002146210596914822,5.294927459493805e-06,0
M_3ohdcoa_c,2,0.0018779342723004694,0.014478975754478096,0.06710892632458494,0.1559290313054276,0.0011666490169084684,0
M_hx2coa_c,1,0.0009389671361502347,1.3199777856269979e-23,-0.004387857483717135,0.010144355227940854,0.0,0
M_2dh3dgal_c,3,0.002816901408450704,6.497393762153329e-23,-0.006416586602752883,0.014668189316076642,0.000217092025839246,0
M_3hhcoa_c,1,0.0009389671361502347,0.055431610254848815,-0.004205460732424893,0.16892311724754658,0.0,0
M_3hocoa_c,1,0.0009389671361502347,3.520553049699407e-28,-0.004276963285570122,0.0067605633802816905,0.0,0
M_galctn__D_c,2,0.0018779342723004694,1.3840043620647342e-27,-0.005307644621282747,0.009488510007412899,4.059444385611917e-05,0
M_3htdcoa_c,1,0.0009389671361502347,0.00452247618526324,-0.0042517805068207504,0.1330412911784751,0.0,0
M_3mob_c,3,0.002816901408450704,0.05615988168340785,-0.005055816833789032,0.1692009513219669,0.0023315330579971056,0
M_kdo2lipid4_c,1,0.0009389671361502347,0.01438509265607967,0.06681245694368322,0.15581094797994072,0.0,0
M_udpgal_c,1,0.0009389671361502347,2.8261331618538594e-06,-0.0043604227016236004,0.08442690061859325,0.0,0
M_cbl1_c,2,0.0018779342723004694,0.00040000358401933264,-0.004871797170158002,0.1113356909131557,0.0011666490169084684,0
M_2dmmql8_c,6,0.005633802816901408,0.004935734811328214,-0.007022604926703922,0.13549447270827247,0.009276712909033147,0
M_succoa_c,1,0.0009389671361502347,3.1491299144834634e-38,-0.004222640102986344,0.0022535211267605635,0.0,0
M_fum_c,2,0.0018779342723004694,7.205982706138166e-38,-0.00476441279544497,0.0033802816901408453,8.824879099156342e-06,0
M_od2coa_c,1,0.0009389671361502347,0.00039740999827414715,-0.00444845931611224,0.11127547691049851,0.0,0
M_f1p_c,2,0.0018779342723004694,0.006858353213918592,-0.009639613339958223,0.14126217425850446,0.0011666490169084684,0
M_ump_c,2,0.0018779342723004694,9.602485815231194e-40,-0.004639797497794214,0.002556077203964528,1.058985491898761e-05,0
M_tmao_c,2,0.0018779342723004694,1.5289325933874247e-39,-0.004725808170302396,0.0032863849765258214,1.7649758198312683e-05,0
