,DEGREE
M_myrsACP_c,1
M_n2o_c,1
M_n8aspmd_c,1
M_na15dap_c,1
M_na1_c,1
M_na1_p,2
M_nac_c,1
M_nad_c,21
M_nadh_c,18
M_nadp_c,9
M_nadph_c,16
M_ncam_c,1
M_nh4_c,2
M_ni2_c,1
M_nicrnt_c,2
M_nmn_c,1
M_no2_c,1
M_no3_c,1
M_no_c,1
M_novbcn_c,1
M_o16a2und_c,1
M_o16a3und_c,1
M_o16aund_c,1
M_o2_c,6
M_o2s_c,1
M_oaa_c,3
M_oc2coa_c,1
M_occoa_c,2
M_ocdcaACP_c,1
M_ocdca_c,1
M_ocdcap_c,1
M_ocdcea_c,1
M_ocdceap_c,1
M_octa_c,1
M_octapb_c,1
M_octdp_c,3
M_octeACP_c,1
M_od2coa_c,1
M_odecoa_c,1
M_ohpb_c,1
M_op4en_c,2
M_orn_c,1
M_orot5p_c,1
M_orot_c,1
M_oxa_c,2
M_oxadpcoa_c,2
M_oxalcoa_c,1
M_oxam_c,1
M_oxur_c,1
M_pa120_c,2
M_pa140_c,2
M_pa141_c,2
M_pa160_c,2
M_pa161_c,2
M_pa180_c,2
M_pa181_c,2
M_pac_c,1
M_pacald_c,1
M_palmACP_c,1
M_pan4p_c,1
M_pant__R_c,1
M_pap_c,1
M_paps_c,1
M_pdx5p_c,1
M_pe120_c,1
M_pe140_c,1
M_pe141_c,1
M_pe160_c,1
M_pe161_c,1
M_pe180_c,1
M_pe181_c,1
M_peamn_c,1
M_pep_c,8
M_pg120_c,1
M_pg140_c,1
M_pg141_c,1
M_pg160_c,1
M_pg161_c,1
M_pg180_c,1
M_pg181_c,1
M_pgp120_c,1
M_pgp140_c,1
M_pgp141_c,1
M_pgp160_c,1
M_pgp161_c,1
M_pgp180_c,1
M_pgp181_c,1
M_phaccoa_c,1
M_phe__L_c,1
M_pheme_c,2
M_phhlipa_c,1
M_phom_c,1
M_phphhlipa_c,1
M_phpyr_c,1
M_phthr_c,1
M_pi_c,12
M_pimACP_c,2
M_pmtcoa_c,1
M_pnto__R_c,3
M_poaac_c,2
M_ppa_c,2
M_ppal_c,1
M_ppap_c,1
M_ppbng_c,1
M_ppcoa_c,2
M_ppgpp_c,1
M_pphn_c,2
M_ppi_c,1
M_ppp9_c,1
M_pppg9_c,1
M_pppi_c,1
M_pppn_c,1
M_ppt_c,1
M_pram_c,2
M_pran_c,2
M_prbamp_c,1
M_prbatp_c,1
M_preq0_c,1
M_preq1_c,1
M_prfp_c,1
M_prlp_c,1
M_pro__L_c,2
M_progly_c,1
M_prpncoa_c,1
M_prpp_c,1
M_ps120_c,1
M_ps140_c,1
M_ps141_c,1
M_ps160_c,1
M_ps161_c,1
M_ps180_c,1
M_ps181_c,1
M_psclys_c,1
M_psd5p_c,1
M_ptrc_c,3
M_pyam5p_c,1
M_pydam_c,1
M_pydx5p_c,1
M_pydx_c,2
M_pydxn_c,2
M_pyr_c,7
M_q8_c,3
M_q8h2_c,1
M_quin_c,3
M_quln_c,1
M_r15bp_c,1
M_r1p_c,1
M_r5p_c,1
M_ragund_c,1
M_rbflvrd_c,1
M_rbl__D_c,1
M_rbl__L_c,1
M_rdmbzi_c,2
M_rephaccoa_c,1
M_rfamp_c,1
M_rhcys_c,1
M_rib__D_c,2
M_ribflv_c,2
M_rml1p_c,1
M_rml_c,1
M_rmn_c,1
M_ru5p__D_c,1
M_ru5p__L_c,1
M_s17bp_c,1
M_s7p_c,2
M_sarcs_c,1
M_sbt6p_c,1
M_sbt__D_c,1
M_sbzcoa_c,2
M_scl_c,1
M_sel_c,1
M_seln_c,1
M_selnp_c,1
M_ser__D_c,2
M_ser__L_c,3
M_seramp_c,1
M_sheme_c,1
M_skm5p_c,2
M_skm_c,1
M_sl26da_c,2
M_sl2a6o_c,1
M_slnt_c,1
M_so2_c,1
M_so3_c,1
M_so4_c,1
M_so4_p,1
M_spmd_c,3
M_stcoa_c,1
M_suc6p_c,1
M_sucarg_c,1
M_sucbz_c,1
M_succ_c,1
M_succoa_c,1
M_sucglu_c,1
M_sucgsa_c,1
M_suchms_c,1
M_sucorn_c,1
M_sucr_c,1
M_sucsal_c,1
M_sufbcd_2fe2s_c,1
M_sufbcd_4fe4s_c,1
M_sulfac_c,1
M_sulfac_p,1
M_tag6p__D_c,2
M_tagdp__D_c,1
M_tagur_c,1
M_tartr__D_c,1
M_tartr__L_c,1
M_taur_c,2
M_taur_p,1
M_tcynt_c,1
M_td2coa_c,1
M_tdcoa_c,2
M_tdeACP_c,1
M_tdecoa_c,1
M_teo2_c,1
M_thdp_c,1
M_thf_c,3
M_thm_c,2
M_thm_p,1
M_thmmp_c,2
M_thmpp_c,1
M_thr__L_c,4
M_thr__L_p,1
M_thrp_c,1
M_thym_c,1
M_thymd_c,3
M_tma_c,1
M_tmao_c,2
M_tmao_p,1
M_tre6p_c,1
M_tre_c,1
M_trp__L_c,1
M_tsul_c,1
M_tsul_p,1
M_ttdca_c,1
M_ttdcap_c,1
M_ttdcea_c,1
M_ttdceap_c,1
M_ttrcyc_c,1
M_tungs_c,1
M_tym_c,1
M_tyr__L_c,3
M_tyrp_c,1
M_u23ga_c,1
M_u3aga_c,2
M_u3hga_c,1
M_uLa4fn_c,1
M_uLa4n_c,1
M_uaagmda_c,1
M_uaccg_c,1
M_uacgam_c,1
M_uacmam_c,1
M_uacmamu_c,1
M_uagmda_c,1
M_uama_c,2
M_uamag_c,2
M_uamr_c,2
M_udcpdp_c,1
M_udcpp_c,1
M_udpLa4fn_c,1
M_udpLa4n_c,1
M_udpLa4o_c,1
M_udp_c,2
M_udpacgal_c,1
M_udpg_c,1
M_udpgal_c,1
M_udpgalfur_c,1
M_udpglcur_c,1
M_ugmd_c,2
M_ugmda_c,1
M_um4p_c,1
M_ump_c,2
M_unaga_c,1
M_unagamu_c,1
M_unagamuf_c,1
M_uppg3_c,1
M_ura_c,1
M_uracp_c,1
M_urate_c,1
M_urdglyc_c,1
M_urea_c,1
M_uri_c,2
M_utp_c,2
M_val__L_c,2
M_val__L_p,1
M_xan_c,1
M_xdp_c,1
M_xmp_c,1
M_xtp_c,1
M_xtsn_c,1
M_xu5p__D_c,1
M_xu5p__L_c,1
M_xyl__D_c,1
M_xyl__D_p,1
M_xylu__D_c,2
M_xylu__L_c,1
M_zn2_c,1
