BiGG,MNXM
4ohbut,MNXM728793
Malcoame,MNXM728995
lipoate,MNXM729132
lipt,MNXM729132
sl26da,MNXM729177
HC02172,MNXM729215
zn2,MNXM729215
nh3,MNXM729302
nh4,MNXM729302
gthox,MNXM729383
rdmbzi,MNXM729592
acac,MNXM729595
cbi,MNXM729643
Meoh,MNXM729800
pep,MNXM73
acglu,MNXM730
phpyr,MNXM730221
HC01361,MNXM730301
2me4p,MNXM730435
lipa,MNXM730505
2doxg6p,MNXM730537
3ig3p,MNXM730763
4ppcys,MNXM730898
3c3hmp,MNXM730929
2sephchc,MNXM730931
4c2me,MNXM730948
HC01501,MNXM731077
tsul,MNXM731077
cu2,MNXM731166
35cgmp,MNXM731192
galt1p,MNXM731248
xylu__D,MNXM731281
ppt,MNXM731416
uaccg,MNXM731472
pa160,MNXM731668
fc1p,MNXM731750
rml,MNXM731755
lipidA,MNXM731760
lac__D,MNXM731834
lac__L,MNXM731835
lipidX,MNXM731934
ni2,MNXM731950
glyc__R,MNXM732052
uama,MNXM732162
ugmda,MNXM732166
no3,MNXM732398
citr__L,MNXM732471
hxan,MNXM732487
h2o2,MNXM732620
preq0,MNXM732649
ctbtcoa,MNXM732837
3mob,MNXM732866
abt__L,MNXM732880
lald__L,MNXM732880
gua,MNXM733114
cd2,MNXM733186
s7p,MNXM733314
2tpr3dpcoa,MNXM733374
urdglyc,MNXM733673
23cgmp,MNXM733912
23dhmb,MNXM734
6pgc,MNXM734080
1odecg3p,MNXM734212
eths,MNXM7343
ethso3,MNXM7343
1agpg140,MNXM734523
1tdecg3p,MNXM734523
xyl__D,MNXM734574
gcald,MNXM734590
cu,MNXM734750
arab__L,MNXM734859
pnto__R,MNXM734864
doxrbcn,MNXM735003
dadp,MNXM735047
indole,MNXM735090
all6p,MNXM735357
o2,MNXM735438
cholate,MNXM735592
cpppg3,MNXM735625
glucys,MNXM735669
rbl__D,MNXM735687
4ppan,MNXM735771
cl,MNXM735978
3dhguln,MNXM736
tmao,MNXM736072
cinnm,MNXM736095
cm,MNXM736341
fald,MNXM736417
dgmp,MNXM736654
sbt__D,MNXM736685
quin,MNXM736788
3dhq,MNXM736874
cpe160,MNXM736944
cpe180,MNXM736947
cpg160,MNXM736952
cpg180,MNXM736955
4r5au,MNXM737103
pac,MNXM737265
cdg,MNXM737298
pphn,MNXM737312
fum,MNXM737340
5aizc,MNXM737371
ser__L,MNXM737787
gfgaragund,MNXM737969
tartr__L,MNXM737997
cys__L,MNXM738068
garagund,MNXM738102
forcoa,MNXM738242
 bbtcoa,MNXM738399
n2o,MNXM738430
nadph,MNXM738702
