Source	BiGG	MNXM	Stuff	
bigg.metabolite:	12mgdg184_6_9_12_15	MNXM1091604	3-D-glucosyl-1,2-Diacylglycerol(n-C184)
bigg.metabolite:	12mtACP	MNXM1091605	12-methyl-tridecanoyl-ACP
bigg.metabolite:	12mtt2eACP	MNXM1091606	12-methyl-trans-tridec-2-enoyl-ACP
bigg.metabolite:	12napdol	MNXM1091607	12-Naphthalenediol
bigg.metabolite:	13glucan	MNXM1091608	Beta-1,3-glucan
bigg.metabolite:	13m3htdACP	MNXM1091609	13-methyl-3-hydroxy-tetra-decanoyl-ACP
bigg.metabolite:	13m3otdACP	MNXM1091610	13-methyl-3-oxo-tetra-decanoyl-ACP
bigg.metabolite:	13mtdACP	MNXM1091611	13-methyl-tetra-decanoyl-ACP
bigg.metabolite:	13mttd2eACP	MNXM1091612	13-methyl-trans-tetra-dec-2-enoyl-ACP
bigg.metabolite:	14denlipidA	MNXM1091613	1'4'bisphosphoethanolaminlipidIVa
bigg.metabolite:	14denlipidA_LptA	MNXM1091614	1'4'bisphosphoethanolaminlipidIVa
bigg.metabolite:	14dh2napcoa	MNXM1091615	1,4-Dihydroxy-2-naphthoyl-CoA
bigg.metabolite:	14m3hdACP	MNXM1091616	14-methyl-3-hydroxy-hexa-decanoyl-ACP
bigg.metabolite:	14m3hpACP	MNXM1091617	14-methyl-3-hydroxy-pentadecanoyl-ACP
bigg.metabolite:	14m3ohdACP	MNXM1091618	14-methyl-3-oxo-hexa-decanoyl-ACP
bigg.metabolite:	14m3opACP	MNXM1091619	14-methyl-3-oxo-pentadecanoyl-ACP
bigg.metabolite:	14mhdACP	MNXM1091620	14-methyl-hexa-decanoyl-ACP
bigg.metabolite:	14mpACP	MNXM1091621	14-methyl-pentadecanoyl-ACP
bigg.metabolite:	14mthdeACP	MNXM1091622	14-methyl-trans-hexa-dec-2-enoyl-ACP
bigg.metabolite:	14mtp2eACP	MNXM1091623	14-methyl-trans-pentadec-2-enoyl-ACP
bigg.metabolite:	15gl	MNXM1091624	D-Glucono-1,5-lactone
