BiGG,MNXM,MolWt,NumHeteroatoms,NumHAcceptors,NumValenceElectrons,MolMR,MolLogP,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,charge,NumHDonors
g3pi,MNXM1517,333.2060000000001,12,11,126,61.55810000000004,-4.972099999999995,0.2679208716498816,-0.756111233954379,0.756111233954379,0.2679208716498816,-1.0,7
dtdp,MNXM152,399.1650000000001,15,12,142,71.68260000000002,-2.763979999999997,0.475653354559035,-0.8582549971190538,0.8582549971190538,0.475653354559035,-3.0,2
3hppnl,MNXM1526,74.079,2,2,30,17.7668,-0.4323000000000001,0.1217771026225776,-0.3959299823475051,0.3959299823475051,0.1217771026225776,0.0,1
34hpp,MNXM153,179.15099999999998,4,3,68,42.23480000000001,-0.0436000000000001,0.3720135867056883,-0.8724467254704391,0.8724467254704391,0.3720135867056883,-1.0,1
dmbzid,MNXM1531,146.193,2,1,56,45.567700000000016,2.17974,0.0931373916326675,-0.3445882363934827,0.3445882363934827,0.0931373916326675,0.0,1
5apru,MNXM1532,352.196,14,11,130,67.6298,-3.8260999999999994,0.4691706850475801,-0.8570692964775386,0.8570692964775386,0.4691706850475801,-2.0,6
gdptp,MNXM1561,677.0910000000006,30,22,228,103.6463,-5.651030000000003,0.4820789163458676,-0.8569328930032929,0.8569328930032929,0.4820789163458676,-6.0,5
hg2,MNXM1562,200.59,1,0,0,0.0,-0.0025,2.0,2.0,2.0,2.0,2.0,0
sl2a6o,MNXM1563,286.21599999999995,9,8,112,56.96480000000001,-3.782199999999998,0.3716471914538937,-0.8619670091276934,0.8619670091276934,0.3716471914538937,-3.0,1
idon__L,MNXM1565,195.147,7,7,78,36.11999999999999,-4.827799999999997,0.1217521518020305,-0.5472091694087304,0.5472091694087304,0.1217521518020305,-1.0,5
ura,MNXM158,112.08799999999998,4,4,42,25.3616,-0.1122000000000001,0.3166513013948834,-0.4931144110693204,0.4931144110693204,0.3166513013948834,0.0,2
2obut,MNXM159,101.08099999999996,3,3,40,20.304999999999996,-1.2846000000000002,0.1774941551937903,-0.5417093464999296,0.5417093464999296,0.1774941551937903,-1.0,0
3c4mop,MNXM1602,172.136,5,5,68,33.349,-2.6724999999999985,0.1866882514348515,-0.5493561075521814,0.5493561075521814,0.1866882514348515,-2.0,0
mal__D,MNXM1608,132.07099999999997,5,5,52,20.637799999999995,-3.7628,0.0985100833640648,-0.5500540061453582,0.5500540061453582,0.0985100833640648,-2.0,1
pydx5p,MNXM161,245.127,8,6,88,48.42180000000001,-0.7465800000000002,0.2650716943082286,-0.8707490391549201,0.8707490391549201,0.2650716943082286,-2.0,1
3amac,MNXM162288,86.06999999999998,3,3,34,18.3344,-1.7912999999999997,0.0656606522398327,-0.5454103588477871,0.5454103588477871,0.0656606522398327,-1.0,1
2dh3dgal,MNXM1627,177.13199999999998,6,6,70,33.73039999999999,-3.5904,0.1804508813773714,-0.5417080038021377,0.5417080038021377,0.1804508813773714,-1.0,3
isetac,MNXM1630,125.125,5,4,44,21.649999999999995,-1.4760999999999995,0.0968137519175116,-0.7478796085760548,0.7478796085760548,0.0968137519175116,-1.0,1
3hpppn,MNXM1634,165.16799999999998,3,2,64,41.84480000000002,0.7773999999999999,0.3031777597648861,-0.8724405732481039,0.8724405732481039,0.3031777597648861,-1.0,1
2ohph,MNXM1635,655.0640000000002,2,2,266,213.84359999999927,14.691999999999965,0.1604841928690321,-0.5042526920446433,0.5042526920446433,0.1604841928690321,0.0,2
4hbz,MNXM164,137.11399999999998,3,2,52,32.84729999999999,0.4584,0.3351775234019627,-0.8724464549565312,0.8724464549565312,0.3351775234019627,-1.0,1
2p4c2me,MNXM1641,597.2560000000004,23,19,214,104.0612,-5.368829999999997,0.4782932019136315,-0.8456009302374488,0.8456009302374488,0.4782932019136315,-4.0,6
hxa,MNXM1653,115.152,2,2,48,29.148999999999983,0.3166,0.041383615453741,-0.5501718609110152,0.5501718609110152,0.041383615453741,-1.0,0
n8aspmd,MNXM1679,189.303,4,1,78,53.870300000000015,-1.061599999999996,0.176926885348096,-0.4967951306699527,0.4967951306699527,0.176926885348096,2.0,3
ade,MNXM168,135.13000000000002,5,4,50,35.212099999999985,-0.1133,0.162275837518455,-0.381732481433563,0.381732481433563,0.162275837518455,0.0,2
2ippm,MNXM1706,156.137,4,4,62,32.93499999999999,-1.9313999999999985,0.0677623670056238,-0.545455447563024,0.545455447563024,0.0677623670056238,-2.0,0
2omph,MNXM1707,669.091,2,2,272,218.7307999999992,14.994999999999964,0.1607249019547667,-0.5040567690769857,0.5040567690769857,0.1607249019547667,0.0,1
sucsal,MNXM172,101.081,3,3,40,20.304999999999996,-1.2846,0.119865268988519,-0.5501578133086198,0.5501578133086198,0.119865268988519,-1.0,0
galctn__D,MNXM1734,195.147,7,7,78,36.11999999999999,-4.827799999999997,0.1217521518020305,-0.5472091694087304,0.5472091694087304,0.1217521518020305,-1.0,5
xan,MNXM174,152.11300000000003,6,5,56,35.0133,-0.2359000000000002,0.3188386828561945,-0.4915264109349504,0.4915264109349504,0.3188386828561945,0.0,3
frulys,MNXM1742,309.33900000000006,9,7,124,71.14580000000002,-3.914499999999996,0.3618186163012871,-0.4768527212758296,0.4768527212758296,0.3618186163012871,1.0,7
acetol,MNXM1744,74.079,2,2,30,17.7668,-0.4323000000000001,0.1546155661766026,-0.3886043602174644,0.3886043602174644,0.1546155661766026,0.0,1
