,d1_1515,d2_1515,value1515
424,HeavyAtomMolWt,BCUT2D_MWLOW,-0.6111891919304654
425,HeavyAtomMolWt,BCUT2D_CHGHI,0.7136292134271196
426,HeavyAtomMolWt,BCUT2D_CHGLO,-0.6886396926482073
427,HeavyAtomMolWt,BCUT2D_LOGPHI,0.8107765856616754
428,HeavyAtomMolWt,BCUT2D_LOGPLOW,-0.40962805522983897
429,HeavyAtomMolWt,BCUT2D_MRHI,0.5633784327192389
430,HeavyAtomMolWt,BCUT2D_MRLOW,-0.3565023723221919
431,HeavyAtomMolWt,BalabanJ,-0.3671880792789883
432,HeavyAtomMolWt,BertzCT,0.9608358154409009
433,HeavyAtomMolWt,Chi0,0.9906955315957292
434,HeavyAtomMolWt,Chi0n,0.9792769129806035
435,HeavyAtomMolWt,Chi0v,0.9897621921252401
436,HeavyAtomMolWt,Chi1,0.9875224642097787
437,HeavyAtomMolWt,Chi1n,0.9696923404847941
438,HeavyAtomMolWt,Chi1v,0.9827772405650224
439,HeavyAtomMolWt,Chi2n,0.9703327290132403
440,HeavyAtomMolWt,Chi2v,0.9815448707716671
441,HeavyAtomMolWt,Chi3n,0.9621753462322701
442,HeavyAtomMolWt,Chi3v,0.9782605125766645
443,HeavyAtomMolWt,Chi4n,0.9566335480908004
444,HeavyAtomMolWt,Chi4v,0.9726722492475476
445,HeavyAtomMolWt,HallKierAlpha,-0.7050565387280526
446,HeavyAtomMolWt,Ipc,0.9850571451002876
447,HeavyAtomMolWt,Kappa1,0.9804012855942026
448,HeavyAtomMolWt,Kappa2,0.9376001355437787
449,HeavyAtomMolWt,Kappa3,0.7392256699145036
450,HeavyAtomMolWt,LabuteASA,0.9912527661387137
451,HeavyAtomMolWt,PEOE_VSA1,0.8206922143420842
452,HeavyAtomMolWt,SMR_VSA1,0.8672780363082796
453,HeavyAtomMolWt,SlogP_VSA2,0.8020892929304485
454,HeavyAtomMolWt,SlogP_VSA3,0.8378069299241943
455,HeavyAtomMolWt,TPSA,0.8628016488008161
456,HeavyAtomMolWt,FractionCSP3,0.28244153348680046
457,HeavyAtomMolWt,HeavyAtomCount,0.9913149612609151
458,HeavyAtomMolWt,NOCount,0.8928039471616372
459,HeavyAtomMolWt,NumHAcceptors,0.8843166292877003
460,HeavyAtomMolWt,NumHeteroatoms,0.896096914370141
461,HeavyAtomMolWt,NumRotatableBonds,0.8969693153939075
462,HeavyAtomMolWt,MolLogP,0.00362682550288246
463,HeavyAtomMolWt,MolMR,0.9681151861608126
464,ExactMolWt,mass,0.9999998247726362
465,ExactMolWt,MaxEStateIndex,0.9198321319031142
466,ExactMolWt,MinEStateIndex,-0.6751992473273046
467,ExactMolWt,MaxAbsEStateIndex,0.9198321319031142
468,ExactMolWt,MinAbsEStateIndex,-0.3824242768212217
469,ExactMolWt,qed,-0.7649553057793971
470,ExactMolWt,MolWt,0.9999978972722403
471,ExactMolWt,HeavyAtomMolWt,0.999428723248134
472,ExactMolWt,ExactMolWt,0.9999999999999998
473,ExactMolWt,NumValenceElectrons,0.9943500953643811
474,ExactMolWt,MaxPartialCharge,0.5749034584802047
475,ExactMolWt,MinPartialCharge,-0.564800939890593
476,ExactMolWt,MaxAbsPartialCharge,0.48477281035902253
477,ExactMolWt,MinAbsPartialCharge,0.5539987124592256
478,ExactMolWt,FpDensityMorgan1,-0.6896223835627291
479,ExactMolWt,FpDensityMorgan2,-0.504180552000329
480,ExactMolWt,FpDensityMorgan3,-0.17435152305513418
481,ExactMolWt,BCUT2D_MWHI,0.5827174146649351
482,ExactMolWt,BCUT2D_MWLOW,-0.6122842877321084
483,ExactMolWt,BCUT2D_CHGHI,0.7107882263955495
484,ExactMolWt,BCUT2D_CHGLO,-0.6851535259131227
485,ExactMolWt,BCUT2D_LOGPHI,0.8077097950683075
486,ExactMolWt,BCUT2D_LOGPLOW,-0.4107118983197955
487,ExactMolWt,BCUT2D_MRHI,0.5563485161352545
488,ExactMolWt,BCUT2D_MRLOW,-0.35330702161892913
489,ExactMolWt,BalabanJ,-0.3594634331499305
490,ExactMolWt,BertzCT,0.9574446757520185
491,ExactMolWt,Chi0,0.9924183626143398
